	uri	Average_salary_full_professors	Average_salary_associate_professors	Average_salary_assistant_professors	Average_salary_all_ranks	Average_compensation_full_professor	Average_compensation_associate_professors	Average_compensation_assistant_professors	Average_compensation_all_ranks	Number_of_full_professors	Number_of_associate_professors	Number_of_assistant_professors	Number_of_instructors	Number_of_faculty_all_ranks	FICE	College_name	State	label_salary	label_comp	label	corr_feat
48	http://dbpedia.org/resource/Barat_College	507.0	405.0	333.0	402.0	599.0	473.0	394.0	474.0	9.0	9.0	14.0	0.0	32.0	1635.0	Barat College	IL	medium	medium	IIB	IIA
49	http://dbpedia.org/resource/Barber%E2%80%93Scotia_College	352.0	312.0	287.0	297.0	412.0	360.0	335.0	347.0	13.0	12.0	14.0	13.0	52.0	2909.0	Barber-Scotia College	NC	low	low	IIB	IIB
50	http://dbpedia.org/resource/Bard_College	657.0	460.0	365.0	521.0	860.0	605.0	481.0	683.0	40.0	15.0	29.0	0.0	84.0	2671.0	Bard College	NY	high	high	IIB	I
51	http://dbpedia.org/resource/Barnard_College	733.0	516.0	395.0	508.0	943.0	652.0	509.0	654.0	49.0	19.0	56.0	6.0	154.0	2708.0	Barnard College	NY	high	high	IIB	IIB
52	http://dbpedia.org/resource/Barry_University	488.0	420.0	350.0	394.0	598.0	508.0	424.0	477.0	39.0	77.0	84.0	15.0	215.0	1466.0	Barry University	FL	medium	medium	IIA	I
53	http://dbpedia.org/resource/Barton_College	348.0	312.0	299.0	311.0	411.0	372.0	349.0	365.0	18.0	25.0	37.0	3.0	84.0	2908.0	Barton College	NC	low	low	IIB	IIB
54	http://dbpedia.org/resource/Bates_College	671.0	490.0	404.0	518.0	824.0	600.0	494.0	635.0	45.0	31.0	45.0	6.0	127.0	2036.0	Bates College	ME	high	high	IIB	
55	http://dbpedia.org/resource/Baylor_University	619.0	474.0	397.0	476.0	791.0	610.0	504.0	607.0	226.0	131.0	103.0	7.0	601.0	6967.0	Baylor University	TX	medium	high	I	IIB
56	http://dbpedia.org/resource/Belhaven_University	364.0	304.0	298.0	314.0	423.0	355.0	348.0	366.0	9.0	8.0	15.0	2.0	34.0	2397.0	Belhaven College	MS	low	low	IIB	I
57	http://dbpedia.org/resource/Bellarmine_College_Preparatory	473.0	385.0	326.0	394.0	583.0	480.0	396.0	482.0	32.0	18.0	27.0	7.0	84.0	1954.0	Bellarmine College	KY	medium	medium	IIA	IIA
58	http://dbpedia.org/resource/Bellevue_College	379.0	340.0	289.0	317.0	449.0	404.0	346.0	378.0	6.0	12.0	23.0	0.0	41.0	9743.0	Bellevue College	NE	low	low	IIB	IIA
59	http://dbpedia.org/resource/Belmont_Abbey_College	348.0	316.0	281.0	309.0	434.0	392.0	350.0	384.0	8.0	21.0	17.0	0.0	46.0	2910.0	Belmont Abbey College	NC	low	low	IIB	I
60	http://dbpedia.org/resource/Belmont_University	484.0	372.0	315.0	382.0	573.0	445.0	377.0	455.0	42.0	54.0	45.0	7.0	148.0	3479.0	Belmont University	TN	medium	medium	IIA	IIB
61	http://dbpedia.org/resource/Beloit_College	521.0	409.0	357.0	453.0	660.0	512.0	428.0	565.0	42.0	15.0	22.0	1.0	80.0	3835.0	Beloit College	WI	medium	medium	IIB	IIB
62	http://dbpedia.org/resource/Bemidji_State_University	490.0	403.0	341.0	419.0	629.0	520.0	443.0	539.0	91.0	40.0	50.0	11.0	192.0	2336.0	Bemidji State University	MN	medium	medium	IIA	IIA
63	http://dbpedia.org/resource/Benedict_College	320.0	260.0	241.0	257.0	381.0	311.0	289.0	308.0	21.0	10.0	29.0	18.0	78.0	3420.0	Benedict College	SC	low	low	IIB	IIB
64	http://dbpedia.org/resource/Benedictine_College	335.0	316.0	278.0	296.0	374.0	368.0	327.0	342.0	11.0	16.0	16.0	7.0	50.0	10256.0	Benedictine College	KS	low	low	IIB	
65	http://dbpedia.org/resource/Benedictine_University	463.0	395.0	315.0	409.0	576.0	493.0	403.0	511.0	38.0	36.0	17.0	0.0	91.0	1767.0	Illinois Benedictine College	IL	medium	medium	IIA	I
66	http://dbpedia.org/resource/Bennett_College	351.0	377.0	300.0	323.0	418.0	437.0	346.0	375.0	9.0	16.0	16.0	11.0	52.0	2911.0	Bennett College	NC	low	low	IIB	I
67	http://dbpedia.org/resource/Bennington_College				373.0				449.0	0.0	0.0	0.0	0.0	46.0	3682.0	Bennington College	VT	medium	medium	IIB	IIA
68	http://dbpedia.org/resource/Bentley_University	717.0	566.0	493.0	575.0	894.0	708.0	599.0	712.0	48.0	84.0	56.0	10.0	198.0	2124.0	Bentley College	MA	high	high	IIA	IIA
69	http://dbpedia.org/resource/Berea_College	552.0	428.0	355.0	436.0	675.0	518.0	421.0	525.0	32.0	43.0	31.0	6.0	112.0	1955.0	Berea College	KY	medium	medium	IIB	IIB
70	http://dbpedia.org/resource/Berklee_College_of_Music	504.0	402.0	329.0	381.0	605.0	491.0	405.0	466.0	17.0	59.0	61.0	2.0	139.0	2126.0	Berklee College of Music	MA	medium	medium	IIB	
71	http://dbpedia.org/resource/Berry_College	515.0	403.0	343.0	399.0	650.0	519.0	439.0	509.0	25.0	20.0	38.0	3.0	92.0	1554.0	Berry College	GA	medium	medium	IIB	
72	http://dbpedia.org/resource/Bethany_College_(Kansas)	366.0	314.0	267.0	310.5	458.0	422.5	333.0	391.5	18.5	7.5	23.5	1.0	50.5	1904.0	Bethany College	KS	low	low	IIB	IIB
73	http://dbpedia.org/resource/Bethel_College_(Kansas)	347.3333333333333	320.5	280.0	304.25	450.0	410.0	352.5	390.0	18.25	18.75	13.75	4.5	55.25	1787.0	Bethel College	IN	low	low	IIB	IIB
74	http://dbpedia.org/resource/Biola_University	455.0	369.0	303.0	370.0	582.0	462.0	371.0	464.0	32.0	57.0	31.0	6.0	126.0	1122.0	Biola University	CA	medium	medium	IIA	
75	http://dbpedia.org/resource/Birmingham%E2%80%93Southern_College	498.0	379.0	322.0	401.0	655.0	501.0	404.0	523.0	34.0	25.0	27.0	3.0	89.0	1012.0	Birmingham Southern College	AL	medium	medium	IIB	IIB
76	http://dbpedia.org/resource/Black_Hills_State_University	410.0	341.0	303.0	329.0	487.0	409.0	366.0	396.0	24.0	13.0	50.0	11.0	98.0	3459.0	Black Hills State University	SD	low	low	IIB	I
77	http://dbpedia.org/resource/Blackburn_College_(Illinois)				312.0				370.0	0.0	0.0	0.0	0.0	23.0	1639.0	Blackburn University	IL	low	low	IIB	IIB
78	http://dbpedia.org/resource/Bloomfield_College	476.0	434.0	354.0	406.0	602.0	547.0	443.0	510.0	12.0	13.0	17.0	4.0	46.0	2597.0	Bloomfield College	NJ	medium	medium	IIB	I
79	http://dbpedia.org/resource/Bloomsburg_University_of_Pennsylvania	669.0	538.0	428.0	528.0	856.0	710.0	580.0	696.0	98.0	109.0	131.0	10.0	348.0	3315.0	Bloomsburg University of Penn.	PA	high	high	IIA	IIA
80	http://dbpedia.org/resource/Bluefield_State_College	409.0	315.0	268.0	310.0	483.0	388.0	341.0	384.0	23.0	22.0	34.0	12.0	91.0	3809.0	Bluefield State College	WV	low	low	IIB	I
81	http://dbpedia.org/resource/Bluffton_University	368.0	309.0	272.0	312.0	466.0	389.0	347.0	399.0	16.0	13.0	19.0	1.0	49.0	3016.0	Bluffton College	OH	low	low	IIB	IIB
82	http://dbpedia.org/resource/Boise_State_University	448.0	391.0	354.0	391.0	566.0	498.0	453.0	498.0	157.0	111.0	100.0	7.0	427.0	1616.0	Boise State University	ID	medium	medium	IIA	I
83	http://dbpedia.org/resource/Boston_College	784.0	569.0	496.0	614.0	964.0	717.0	604.0	761.0	165.0	245.0	126.0	10.0	556.0	2128.0	Boston College	MA	high	high	I	I
84	http://dbpedia.org/resource/Bowdoin_College	738.0	527.0	418.0	554.0	918.0	651.0	503.0	682.0	41.0	40.0	35.0	4.0	123.0	2038.0	Bowdoin College	ME	high	high	IIB	I
85	http://dbpedia.org/resource/Bowie_State_University	510.0	433.0	349.0	401.0	647.0	554.0	452.0	515.0	31.0	28.0	51.0	14.0	127.0	2062.0	Bowie State University	MD	medium	medium	IIA	IIB
86	http://dbpedia.org/resource/Bradford_College_(England)	447.0	352.0	310.0	346.0	557.0	450.0	384.0	435.0	9.0	18.0	8.0	6.0	41.0	2132.0	Bradford College	MA	low	low	IIB	IIB
87	http://dbpedia.org/resource/Bradley_University	570.0	464.0	378.0	442.0	679.0	562.0	449.0	529.0	75.0	88.0	100.0	30.0	295.0	1641.0	Bradley University	IL	medium	medium	IIA	IIB
88	http://dbpedia.org/resource/Brandeis_University	687.0	493.0	403.0	550.0	859.0	619.0	496.0	686.0	142.0	71.0	40.0	3.0	299.0	2133.0	Brandeis University	MA	high	high	I	IIB
89	http://dbpedia.org/resource/Brescia_University		322.0	273.0	299.0		390.0	324.0	357.0	4.0	10.0	14.0	4.0	32.0	1958.0	Brescia College	KY	low	low	IIB	I
90	http://dbpedia.org/resource/Briar_Cliff_University	367.0	324.0	286.0	313.0	473.0	412.0	359.0	398.0	16.0	13.0	28.0	3.0	60.0	1846.0	Briar Cliff College	IA	low	low	IIB	IIB
91	http://dbpedia.org/resource/Bridgewater_College	450.0	390.0	332.0	383.0	563.0	483.0	417.0	479.0	22.0	15.0	21.0	4.0	62.0	3704.0	Bridgewater College	VA	medium	medium	IIB	IIA
92	http://dbpedia.org/resource/Bridgewater_State_University	517.0	440.0	400.0	468.0	672.0	583.0	542.0	617.0	144.0	53.0	41.0	17.0	255.0	2183.0	Bridgewater State College	MA	medium	high	IIA	IIB
93	http://dbpedia.org/resource/Brigham_Young_University	661.0	504.0	431.0	543.0	851.0	668.0	577.0	711.0	577.0	382.0	304.0	49.0	1372.0	3670.0	Brigham Young University	UT	high	high	I	I
94	http://dbpedia.org/resource/Brown_University	752.0	515.0	433.0	625.0	956.0	659.0	554.0	797.0	286.0	100.0	111.0	0.0	514.0	3401.0	Brown University	RI	high	high	I	I
95	http://dbpedia.org/resource/Bryant_University	632.0	582.0	502.0	556.0	812.0	746.0	629.0	709.0	40.0	43.0	45.0	0.0	135.0	3402.0	Bryant College	RI	high	high	IIB	IIB
96	http://dbpedia.org/resource/Bryn_Mawr_College	620.0	466.0	379.0	511.0	767.0	605.0	478.0	639.0	65.0	23.0	20.0	3.0	129.0	3237.0	Bryn Mawr College	PA	high	high	IIA	I
97	http://dbpedia.org/resource/Bucknell_University	658.0	497.0	415.0	528.0	840.0	637.0	542.0	678.0	84.0	85.0	73.0	1.0	243.0	3238.0	Bucknell University	PA	high	high	IIA	I
98	http://dbpedia.org/resource/Buena_Vista_University	484.0	416.0	339.0	382.0	606.0	522.0	440.0	486.0	20.0	12.0	30.0	10.0	72.0	1847.0	Buena Vista College	IA	medium	medium	IIB	IIB
99	http://dbpedia.org/resource/Buffalo_State_College	536.0	433.0	359.0	444.0	693.0	560.0	464.0	573.0	144.0	157.0	88.0	3.0	424.0	2842.0	SUNY College at Buffalo	NY	medium	medium	IIA	IIA
100	http://dbpedia.org/resource/Butler_University	521.0	442.0	366.0	439.0	650.0	551.0	447.0	544.0	72.0	66.0	77.0	3.0	220.0	1788.0	Butler University	IN	medium	medium	IIA	IIA
101	http://dbpedia.org/resource/Cabrini_College	471.0		354.0	398.0	597.0		448.0	503.0	15.0	5.0	18.0	3.0	41.0	3241.0	Cabrini College	PA	medium	medium	IIB	IIA
102	http://dbpedia.org/resource/California_Institute_of_Technology	970.0	733.0	576.0	866.0	1204.0	909.0	717.0	1075.0	173.0	40.0	44.0	0.0	257.0	1131.0	California Institute of Technology	CA	high	high	I	
103	http://dbpedia.org/resource/California_State_University,_Bakersfield	597.0	482.0	377.0	499.0	752.0	619.0	495.0	637.0	95.0	48.0	50.0	13.0	206.0	7993.0	California State University-Bakersfield	CA	medium	high	IIA	IIB
104	http://dbpedia.org/resource/California_State_University,_Chico	604.0	482.0	395.0	558.0	758.0	631.0	518.0	707.0	413.0	86.0	73.0	2.0	574.0	1146.0	California State University-Chico	CA	high	high	IIA	I
105	http://dbpedia.org/resource/California_State_University,_Dominguez_Hills	605.0	472.0	392.0	548.0	759.0	606.0	593.0	705.0	178.0	52.0	37.0	1.0	268.0	1141.0	California State University-Dominguez Hills	CA	high	high	IIA	IIA
106	http://dbpedia.org/resource/California_State_University,_East_Bay	606.0	491.0	384.0	552.0	762.0	629.0	503.0	699.0	258.0	69.0	49.0	7.0	383.0	1138.0	California State University-Hayward	CA	high	high	IIA	IIA
107	http://dbpedia.org/resource/California_State_University,_Fresno	603.0	476.0	382.0	553.0	757.0	612.0	500.0	699.0	459.0	109.0	67.0	14.0	649.0	1147.0	California State University-Fresno	CA	high	high	IIA	IIB
108	http://dbpedia.org/resource/California_State_University,_Fullerton	605.0	493.0	387.0	544.0	760.0	637.0	506.0	690.0	393.0	120.0	105.0	5.0	623.0	1137.0	California State University-Fullerton	CA	high	high	IIA	IIA
109	http://dbpedia.org/resource/California_State_University,_Long_Beach	600.0	474.0	401.0	542.0	751.0	610.0	521.0	685.0	491.0	171.0	112.0	6.0	780.0	1139.0	California State University-Long Beach	CA	high	high	IIA	IIA
110	http://dbpedia.org/resource/California_University_of_Pennsylvania	674.0	541.0	436.0	549.0	850.0	700.0	578.0	708.0	112.0	108.0	64.0	25.0	309.0	3316.0	California University of Penn.	PA	high	high	IIA	IIB
111	http://dbpedia.org/resource/Calvin_College	471.0	410.0	363.0	446.0	604.0	527.0	461.0	571.0	152.0	33.0	20.0	7.0	212.0	2241.0	Calvin College	MI	medium	medium	IIB	IIB
112	http://dbpedia.org/resource/Cameron_University	426.0	360.0	329.0	345.0	531.0	452.0	415.0	434.0	44.0	35.0	63.0	34.0	177.0	3150.0	Cameron University	OK	low	low	IIB	IIB
113	http://dbpedia.org/resource/Campbellsville_University	342.0	278.0	252.0	277.0	422.0	350.0	318.0	347.0	12.0	11.0	16.0	7.0	46.0	1959.0	Campbellsville College	KY	low	low	IIB	IIB
114	http://dbpedia.org/resource/Canisius_College	542.0	480.0	370.0	468.0	679.0	599.0	450.0	582.0	57.0	73.0	51.0	0.0	181.0	2681.0	Canisius College	NY	medium	medium	IIA	
115	http://dbpedia.org/resource/Capital_University	563.0	405.0	334.0	424.0	704.0	540.0	429.0	543.0	54.0	36.0	57.0	11.0	158.0	3023.0	Capital University	OH	medium	medium	IIA	IIB
116	http://dbpedia.org/resource/Capitol_College		344.0		352.0		406.0		416.0	5.0	7.0	5.0	0.0	17.0	1436.0	Capitol College	MD	medium	low	IIB	IIB
117	http://dbpedia.org/resource/Carleton_College	638.0	486.0	394.0	521.0	807.0	604.0	505.0	659.0	68.0	36.0	45.0	4.0	155.0	2340.0	Carleton College	MN	high	high	IIB	I
118	http://dbpedia.org/resource/Carnegie_Mellon_University	829.0	566.0	499.0	678.0	994.0	691.0	617.0	820.0	256.0	138.0	125.0	4.0	523.0	3242.0	Carnegie-Mellon University	PA	high	high	I	I
119	http://dbpedia.org/resource/Carroll_College_(Montana)	394.0	343.0	285.0	326.0	478.0	413.0	344.0	394.0	12.0	23.0	29.0	0.0	64.0	2526.0	Carroll College	MT	low	low	IIB	IIB
120	http://dbpedia.org/resource/Carson%E2%80%93Newman_College	393.0	334.0	286.0	324.0	475.0	405.0	339.0	390.0	32.0	33.0	41.0	11.0	117.0	3481.0	Carson-Newman College	TN	low	low	IIB	IIB
121	http://dbpedia.org/resource/Carthage_College	434.0	374.0	319.0	371.0	556.0	485.0	406.0	475.0	28.0	18.0	35.0	0.0	81.0	3839.0	Carthage College	WI	medium	medium	IIB	IIA
122	http://dbpedia.org/resource/Castleton_State_College	432.0	355.0	302.0	355.0	580.0	484.0	410.0	480.0	26.0	27.0	34.0	3.0	90.0	3683.0	Castleton State College	VT	medium	medium	IIB	I
123	http://dbpedia.org/resource/Catawba_College	395.0	326.0	288.0	342.0	490.0	394.0	345.0	418.0	30.0	12.0	23.0	1.0	66.0	2914.0	Catawba College	NC	low	low	IIB	IIA
124	http://dbpedia.org/resource/Cazenovia_College	443.0	354.0	295.0	337.0	549.0	445.0	374.0	423.0	8.0	13.0	21.0	3.0	45.0	2685.0	Cazenovia College	NY	low	low	IIB	IIA
125	http://dbpedia.org/resource/Cedar_Crest_College	475.0	392.0	318.0	375.0	591.0	495.0	392.0	468.0	14.0	17.0	29.0	0.0	60.0	3243.0	Cedar Crest College	PA	medium	medium	IIB	IIB
126	http://dbpedia.org/resource/Centenary_College_of_Louisiana		305.0	252.0	266.0		371.0	310.0	326.0	1.0	10.0	16.0	9.0	36.0	2599.0	Centenary College	NJ	low	low	IIB	
127	http://dbpedia.org/resource/Central_College_(Iowa)	464.0	413.0	334.0	395.0	572.0	507.0	405.0	483.0	23.0	36.0	22.0	8.0	89.0	1850.0	Central University of Iowa	IA	medium	medium	IIB	IIA
128	http://dbpedia.org/resource/Central_Methodist_University	402.0	336.0	252.0	310.0	478.0	403.0	308.0	374.0	11.0	20.0	22.0	3.0	56.0	2453.0	Central Methodist College	MO	low	low	IIB	I
129	http://dbpedia.org/resource/Central_Michigan_University	588.0	460.0	397.0	490.0	768.0	612.0	534.0	648.0	230.0	191.0	137.0	23.0	581.0	2243.0	Central Michigan University	MI	medium	high	IIA	
130	http://dbpedia.org/resource/Centre_College	521.0	418.0	351.0	431.0	653.0	514.0	423.0	532.0	27.0	21.0	21.0	4.0	73.0	1961.0	Centre College	KY	medium	medium	IIB	IIB
131	http://dbpedia.org/resource/Chadron_State_College	491.0	404.0	329.0	390.0	593.0	500.0	406.0	476.0	33.0	20.0	19.0	19.0	91.0	2539.0	Chadron State College	NE	medium	medium	IIA	
