	uri	cylinders	displacement	horsepower	weight	accelaeration	mpg_label	car	label	label_num	corr_feat
66	http://dbpedia.org/resource/Mazda_Capella	4.0	120.0	74.5	2588.5	17.9	31.450000000000003	mazda 626	high	31.450000000000003	medium
67	http://dbpedia.org/resource/Mazda_Luce	3.0	80.0	110.0	2720.0	13.5	21.5	mazda rx-4	medium	21.5	low
68	http://dbpedia.org/resource/Mazda_RX-3	3.0	70.0	90.0	2124.0	13.5	18.0	mazda rx3	medium	18.0	
69	http://dbpedia.org/resource/Mazda_RX-7	3.0	70.0	100.0	2420.0	12.5	23.7	mazda rx-7	medium	23.7	low
70	http://dbpedia.org/resource/Mercury_Capri	5.0	138.5	96.5	2346.0	14.0	22.0	mercury capri	medium	22.0	low
71	http://dbpedia.org/resource/Mercury_Grand_Marquis	8.0	351.0	138.0	3955.0	13.2	16.5	mercury grand marquis	low	16.5	high
72	http://dbpedia.org/resource/Mercury_Marquis	8.0	429.0	203.0	4792.5	11.25	11.5	mercury marquis	low	11.5	high
73	http://dbpedia.org/resource/Mercury_Monarch	7.0	276.0	105.5	3501.0	16.9	17.6	mercury monarch	low	17.6	
74	http://dbpedia.org/resource/Nissan_Bluebird	4.0	108.0	94.0	2379.0	16.5	22.0	datsun 610	medium	22.0	
75	http://dbpedia.org/resource/Nissan_Sunny	4.0	80.25	66.5	1923.25	18.85	34.65	datsun 210	high	34.65	
76	http://dbpedia.org/resource/Nissan_Violet	4.0	107.33333333333331	82.0	2236.0	16.833333333333332	30.666666666666668	datsun 710	high	30.666666666666668	medium
77	http://dbpedia.org/resource/Oldsmobile_88	8.0	350.0	160.0	4456.0	13.5	12.0	oldsmobile delta 88 royale	low	12.0	high
78	http://dbpedia.org/resource/Oldsmobile_Cutlass	8.0	290.0	101.66666666666669	3503.3333333333335	18.9	23.46666666666667	oldsmobile cutlass	medium	23.46666666666667	high
79	http://dbpedia.org/resource/Oldsmobile_Cutlass_Ciera	6.0	262.0	85.0	3015.0	17.0	38.0	oldsmobile cutlass ciera	high	38.0	medium
80	http://dbpedia.org/resource/Oldsmobile_Cutlass_Supreme	8.0	260.0	110.0	4060.0	19.0	17.0	oldsmobile cutlass supreme	low	17.0	
81	http://dbpedia.org/resource/Oldsmobile_Starfire	4.0	151.0	85.0	2855.0	17.6	23.8	oldsmobile starfire	medium	23.8	high
82	http://dbpedia.org/resource/Oldsmobile_Vista_Cruiser	8.0	350.0	180.0	4499.0	12.5	12.0	oldsmobile vista cruiser	low	12.0	high
83	http://dbpedia.org/resource/Opel_Manta	4.0	106.5	76.5	2229.0	15.0	25.0	opel manta	high	25.0	medium
84	http://dbpedia.org/resource/Peugeot_504	4.0	122.2	84.2	3013.6	20.14	23.04	peugeot 504	medium	23.04	low
85	http://dbpedia.org/resource/Peugeot_505	4.0	141.0	80.0	3230.0	20.4	28.1	peugeot 505	high	28.1	medium
86	http://dbpedia.org/resource/Plymouth_Barracuda	8.0	340.0	160.0	3609.0	8.0	14.0	plymouth 'cuda	low	14.0	high
87	http://dbpedia.org/resource/Plymouth_Duster	6.0	198.0	95.0	2946.3333333333335	16.0	21.666666666666668	plymouth duster	medium	21.666666666666668	low
88	http://dbpedia.org/resource/Plymouth_Fury	7.666666666666667	322.8333333333333	151.66666666666666	4177.166666666667	13.833333333333334	15.166666666666666	plymouth fury	low	15.166666666666666	medium
89	http://dbpedia.org/resource/Plymouth_Reliant	4.0	140.25	86.0	2505.0	14.75	28.0	dodge aries	high	28.0	low
90	http://dbpedia.org/resource/Plymouth_Satellite	7.0	271.5	127.5	3641.25	14.25	16.5	plymouth satellite	low	16.5	medium
91	http://dbpedia.org/resource/Plymouth_Valiant	6.0	225.0	100.0	3206.0	15.966666666666669	19.666666666666668	plymouth valiant	medium	19.666666666666668	low
92	http://dbpedia.org/resource/Pontiac_Catalina	8.0	413.75	186.25	4485.5	11.25	14.5	pontiac catalina	low	14.5	low
93	http://dbpedia.org/resource/Pontiac_Firebird	6.0	250.0	100.0	3282.0	15.0	19.0	pontiac firebird	medium	19.0	low
94	http://dbpedia.org/resource/Pontiac_Grand_Prix	8.0	400.0	205.0	4249.0	10.3	16.0	pontiac grand prix	low	16.0	medium
95	http://dbpedia.org/resource/Pontiac_LeMans	6.0	231.0	115.0	3245.0	15.4	21.5	pontiac lemans	medium	21.5	low
96	http://dbpedia.org/resource/Pontiac_Safari	8.0	400.0	175.0	5140.0	12.0	13.0	pontiac safari	low	13.0	medium
97	http://dbpedia.org/resource/Pontiac_Sunbird	4.0	151.0	88.0	2740.0	16.0	24.5	pontiac sunbird	medium	24.5	low
98	http://dbpedia.org/resource/Pontiac_Ventura	6.0	250.0	110.0	3645.0	16.2	18.5	pontiac ventura	medium	18.5	high
99	http://dbpedia.org/resource/Renault_12	4.0	98.5	76.0	2195.5	16.65	26.5	renault 12	high	26.5	medium
100	http://dbpedia.org/resource/Renault_5	4.0	79.0	58.0	1825.0	18.6	36.0	renault 5	high	36.0	high
101	http://dbpedia.org/resource/Saab_99	4.0	116.75	108.75	2625.25	15.175	23.9	saab 99	medium	23.9	high
102	http://dbpedia.org/resource/Subaru_Leone	4.0	97.0	67.0	2065.0	17.2	31.9	subaru dl	high	31.9	low
103	http://dbpedia.org/resource/Toyota_Carina	4.0	97.0	88.0	2279.0	19.0	20.0	toyota carina	medium	20.0	high
104	http://dbpedia.org/resource/Toyota_Celica	4.0	139.0	95.5	2590.0	14.35	26.55	toyota celica	high	26.55	low
105	http://dbpedia.org/resource/Toyota_Corolla	4.0	94.3	72.3	2112.8	17.48	30.97	toyota corolla	high	30.97	low
106	http://dbpedia.org/resource/Toyota_Corona	4.0	117.125	89.375	2375.75	14.8375	26.0375	toyota corona	high	26.0375	high
107	http://dbpedia.org/resource/Toyota_Cressida	6.0	168.0	116.0	2900.0	12.6	25.4	toyota cressida	high	25.4	medium
108	http://dbpedia.org/resource/Toyota_Mark_II	6.0	156.0	115.0	2868.5	14.5	19.5	toyota mark ii	medium	19.5	high
109	http://dbpedia.org/resource/Toyota_Starlet	4.0	79.0	58.0	1755.0	16.9	39.1	toyota starlet	high	39.1	high
110	http://dbpedia.org/resource/Toyota_Tercel	4.0	89.0	62.0	2050.0	17.3	37.7	toyota tercel	high	37.7	low
111	http://dbpedia.org/resource/Triumph_TR7	4.0	122.0	88.0	2500.0	15.1	35.0	triumph tr7	high	35.0	medium
112	http://dbpedia.org/resource/Volkswagen_Golf	4.0	92.33333333333331	72.33333333333333	2002.0	14.3	34.13333333333333	vw rabbit	high	34.13333333333333	low
113	http://dbpedia.org/resource/Volkswagen_Jetta	4.0	105.0	74.0	2190.0	14.2	33.0	volkswagen jetta	high	33.0	high
114	http://dbpedia.org/resource/Volkswagen_Passat	4.0	89.0	66.0	2177.75	17.45	31.225	volkswagen passat	high	31.225	medium
115	http://dbpedia.org/resource/Volkswagen_Scirocco	4.0	89.0	71.0	1990.0	14.9	31.5	volkswagen scirocco	high	31.5	
116	http://dbpedia.org/resource/Volkswagen_Type_3	4.0	97.0	54.0	2254.0	23.5	23.0	volkswagen type 3	medium	23.0	low
117	http://dbpedia.org/resource/Volkswagen_Type_4	4.0	121.0	76.0	2511.0	18.0	22.0	volkswagen 411	medium	22.0	medium
118	http://dbpedia.org/resource/Volvo_140_Series	4.0	121.0	112.0	2900.5	15.0	18.5	volvo 144	medium	18.5	low
119	http://dbpedia.org/resource/Volvo_200_Series	5.0	146.5	113.5	3145.0	14.65	18.5	volvo 245	medium	18.5	low
